"Cell Type","ids","object_id","stress_x:0","stress_x:1","stress_y:0","stress_y:1"
9,50683,0,0.98368,0.0041422,0.0041422,-0.0080619
9,50684,0,0.98372,0.0039163,0.0039163,-0.0081622
9,50685,0,0.98376,0.003686,0.003686,-0.0082608
9,50686,0,0.9838,0.0034512,0.0034512,-0.0083576
9,50687,0,0.98383,0.0032115,0.0032115,-0.0084523
9,50688,0,0.98387,0.0029667,0.0029667,-0.0085446
9,50689,0,0.9839,0.0027166,0.0027166,-0.0086342
9,50690,0,0.98394,0.002461,0.002461,-0.0087207
9,50691,0,0.98397,0.0021994,0.0021994,-0.008804
9,50692,0,0.984,0.0019317,0.0019317,-0.0088836
9,50693,0,0.98403,0.0016574,0.0016574,-0.0089592
9,50694,0,0.98406,0.0013762,0.0013762,-0.0090305
9,50695,0,0.98408,0.0010876,0.0010876,-0.0090972
9,50696,0,0.98411,0.00079129,0.00079129,-0.0091588
9,50697,0,0.98413,0.00048672,0.00048672,-0.009215
9,50698,0,0.98414,0.0001734,0.0001734,-0.0092655
9,50699,0,0.98416,-0.0001492,-0.0001492,-0.0093098
9,50700,0,0.98417,-0.00048166,-0.00048166,-0.0093478
9,50701,0,0.98418,-0.00082458,-0.00082458,-0.0093789
9,50702,0,0.98418,-0.0011786,-0.0011786,-0.0094029
9,50703,0,0.93689,-0.12814,-0.12814,0.30932
9,50704,0,0.93912,-0.12842,-0.12842,0.30407
9,50705,0,0.94136,-0.12862,-0.12862,0.29874
9,50706,0,0.94361,-0.12874,-0.12874,0.29333
9,50707,0,0.94587,-0.12877,-0.12877,0.28785
9,50708,0,0.94813,-0.12872,-0.12872,0.28232
9,50709,0,0.95038,-0.12856,-0.12856,0.27673
9,50710,0,0.95263,-0.12832,-0.12832,0.27109
9,50711,0,0.95486,-0.12797,-0.12797,0.26541
9,50712,0,0.95708,-0.12752,-0.12752,0.25971
9,50713,0,0.95927,-0.12697,-0.12697,0.25399
9,50714,0,0.96144,-0.12632,-0.12632,0.24825
9,50715,0,0.96357,-0.12556,-0.12556,0.24252
9,50716,0,0.96566,-0.12471,-0.12471,0.23679
9,50717,0,0.96772,-0.12376,-0.12376,0.23108
9,50718,0,0.96972,-0.12271,-0.12271,0.22539
9,50719,0,0.97168,-0.12156,-0.12156,0.21973
9,50720,0,0.97358,-0.12032,-0.12032,0.21412
9,50721,0,0.97543,-0.119,-0.119,0.20855
9,50722,0,0.97721,-0.11759,-0.11759,0.20304
9,50723,0,0.97894,-0.1161,-0.1161,0.1976
9,50724,0,0.98059,-0.11453,-0.11453,0.19222
9,50725,0,0.98218,-0.1129,-0.1129,0.18691
9,50726,0,0.98371,-0.11119,-0.11119,0.18169
9,50727,0,0.98516,-0.10943,-0.10943,0.17655
9,50728,0,0.98654,-0.1076,-0.1076,0.1715
9,50729,0,0.98785,-0.10573,-0.10573,0.16654
9,50730,0,0.98909,-0.10381,-0.10381,0.16167
9,50731,0,0.99026,-0.10185,-0.10185,0.15691
9,50732,0,0.99135,-0.099847,-0.099847,0.15224
9,50733,0,0.99238,-0.097816,-0.097816,0.14768
9,50734,0,0.99334,-0.095758,-0.095758,0.14322
9,50735,0,0.99423,-0.093677,-0.093677,0.13887
9,50736,0,0.99505,-0.091578,-0.091578,0.13462
9,50737,0,0.99581,-0.089465,-0.089465,0.13047
9,50738,0,0.9965,-0.087342,-0.087342,0.12643
9,50739,0,0.99714,-0.085213,-0.085213,0.1225
9,50740,0,0.99771,-0.083081,-0.083081,0.11867
9,50741,0,0.99823,-0.08095,-0.08095,0.11495
9,50742,0,0.99869,-0.078824,-0.078824,0.11132
9,50743,0,0.99909,-0.076705,-0.076705,0.1078
9,50744,0,0.99945,-0.074596,-0.074596,0.10438
9,50745,0,0.99976,-0.0725,-0.0725,0.10106
9,50746,0,1,-0.070418,-0.070418,0.097831
9,50747,0,1.0002,-0.068355,-0.068355,0.094699
9,50748,0,1.0004,-0.06631,-0.06631,0.09166
9,50749,0,1.0005,-0.064287,-0.064287,0.088712
9,50750,0,1.0006,-0.062287,-0.062287,0.085852
9,50751,0,1.0007,-0.060312,-0.060312,0.08308
9,50752,0,1.0007,-0.058363,-0.058363,0.080391
9,50753,0,1.0007,-0.05644,-0.05644,0.077786
9,50754,0,1.0007,-0.054546,-0.054546,0.07526
9,50755,0,1.0006,-0.052682,-0.052682,0.072813
9,50756,0,1.0005,-0.050847,-0.050847,0.070442
9,50757,0,1.0004,-0.049043,-0.049043,0.068145
9,50758,0,1.0003,-0.047271,-0.047271,0.065919
9,50759,0,1.0001,-0.04553,-0.04553,0.063764
9,50760,0,0.99996,-0.043822,-0.043822,0.061675
9,50761,0,0.99977,-0.042146,-0.042146,0.059653
9,50762,0,0.99956,-0.040503,-0.040503,0.057694
9,50763,0,0.99934,-0.038893,-0.038893,0.055796
9,50764,0,0.99911,-0.037316,-0.037316,0.053959
9,50765,0,0.99886,-0.035773,-0.035773,0.052179
9,50766,0,0.9986,-0.034262,-0.034262,0.050455
9,50767,0,0.99833,-0.032785,-0.032785,0.048786
9,50768,0,0.99805,-0.03134,-0.03134,0.047169
9,50769,0,0.99777,-0.029928,-0.029928,0.045602
9,50770,0,0.99748,-0.028549,-0.028549,0.044085
9,50771,0,0.99718,-0.027201,-0.027201,0.042616
9,50772,0,0.99688,-0.025886,-0.025886,0.041192
9,50773,0,0.99657,-0.024602,-0.024602,0.039813
9,50774,0,0.99626,-0.02335,-0.02335,0.038477
9,50775,0,0.99595,-0.022128,-0.022128,0.037183
9,50776,0,0.99563,-0.020937,-0.020937,0.035929
9,50777,0,0.99532,-0.019776,-0.019776,0.034714
9,50778,0,0.995,-0.018645,-0.018645,0.033536
9,50779,0,0.99469,-0.017543,-0.017543,0.032395
9,50780,0,0.99437,-0.01647,-0.01647,0.03129
9,50781,0,0.99405,-0.015425,-0.015425,0.030218
9,50782,0,0.99374,-0.014408,-0.014408,0.02918
9,50783,0,0.99343,-0.013419,-0.013419,0.028173
9,50784,0,0.99312,-0.012456,-0.012456,0.027197
9,50785,0,0.99281,-0.01152,-0.01152,0.026251
9,50786,0,0.9925,-0.01061,-0.01061,0.025334
9,50787,0,0.9922,-0.0097251,-0.0097251,0.024445
9,50788,0,0.9919,-0.0088654,-0.0088654,0.023583
9,50789,0,0.99161,-0.0080303,-0.0080303,0.022747
9,50790,0,0.99132,-0.0072192,-0.0072192,0.021937
9,50791,0,0.99103,-0.0064316,-0.0064316,0.021151
9,50792,0,0.99074,-0.0056671,-0.0056671,0.020389
9,50793,0,0.99047,-0.0049252,-0.0049252,0.01965
9,50794,0,0.99019,-0.0042055,-0.0042055,0.018933
9,50795,0,0.98992,-0.0035074,-0.0035074,0.018237
9,50796,0,0.98965,-0.0028305,-0.0028305,0.017563
9,50797,0,0.98939,-0.0021744,-0.0021744,0.016909
9,50798,0,0.98914,-0.0015385,-0.0015385,0.016274
9,50799,0,0.98889,-0.00092249,-0.00092249,0.015658
9,50800,0,0.98864,-0.00032589,-0.00032589,0.015061
9,50801,0,0.9884,0.00025175,0.00025175,0.014482
9,50802,0,0.98816,0.00081084,0.00081084,0.013919
9,50803,0,0.98793,0.0013518,0.0013518,0.013374
9,50804,0,0.98771,0.0018751,0.0018751,0.012845
9,50805,0,0.98749,0.0023811,0.0023811,0.012331
9,50806,0,0.98727,0.0028702,0.0028702,0.011833
