"Points:0","Points:1","Points:2","disp:0","disp:1","ids"
0.22306,0.0056108,0,0.009908,0.0036188,216
0.22514,0.0036545,0,0.010001,0.0036545,217
0.22513,0.0056178,0,0.0099942,0.0036258,218
0.22722,0.0036613,0,0.010087,0.0036613,219
0.22721,0.0056246,0,0.01008,0.0036326,220
0.2293,0.003668,0,0.010173,0.003668,221
0.22929,0.0056312,0,0.010167,0.0036392,222
0.23138,0.0036745,0,0.01026,0.0036745,223
0.23137,0.0056377,0,0.010253,0.0036457,224
0.23345,0.0036808,0,0.010346,0.0036808,225
0.23345,0.0056441,0,0.010339,0.003652,226
0.23553,0.003687,0,0.010432,0.003687,227
0.23553,0.0056502,0,0.010426,0.0036582,228
0.23761,0.003693,0,0.010519,0.003693,229
0.2376,0.0056562,0,0.010512,0.0036642,230
0.23969,0.0036989,0,0.010605,0.0036989,231
0.23968,0.0056621,0,0.010599,0.0036701,232
0.24177,0.0037047,0,0.010692,0.0037047,233
0.24176,0.0056678,0,0.010686,0.0036758,234
0.24385,0.0037103,0,0.010778,0.0037103,235
0.24384,0.0056734,0,0.010773,0.0036814,236
0.24592,0.0037158,0,0.010865,0.0037158,237
0.24592,0.0056789,0,0.010859,0.0036868,238
0.248,0.0037211,0,0.010952,0.0037211,239
0.248,0.0056842,0,0.010946,0.0036922,240
0.25008,0.0037263,0,0.011038,0.0037263,241
0.25008,0.0056894,0,0.011033,0.0036973,242
0.25216,0.0037314,0,0.011125,0.0037314,243
0.25216,0.0056944,0,0.01112,0.0037024,244
0.25424,0.0037363,0,0.011212,0.0037363,245
0.25424,0.0056993,0,0.011207,0.0037073,246
0.25632,0.0037411,0,0.011299,0.0037411,247
0.25631,0.0057041,0,0.011294,0.0037121,248
0.2584,0.0037458,0,0.011386,0.0037458,249
0.25839,0.0057088,0,0.011381,0.0037168,250
0.26048,0.0037504,0,0.011473,0.0037504,251
0.26047,0.0057134,0,0.011469,0.0037213,252
0.26256,0.0037549,0,0.011561,0.0037549,253
0.26255,0.0057178,0,0.011556,0.0037258,254
0.26464,0.0037592,0,0.011648,0.0037592,255
0.26463,0.0057221,0,0.011643,0.0037301,256
0.26672,0.0037635,0,0.011735,0.0037635,257
0.26671,0.0057264,0,0.011731,0.0037343,258
0.26879,0.0037676,0,0.011823,0.0037676,259
0.26879,0.0057305,0,0.011818,0.0037384,260
0.27087,0.0037716,0,0.01191,0.0037716,261
0.27087,0.0057345,0,0.011906,0.0037424,262
0.27295,0.0037756,0,0.011998,0.0037756,263
0.27295,0.0057384,0,0.011994,0.0037464,264
0.27503,0.0037794,0,0.012085,0.0037794,265
0.27503,0.0057422,0,0.012081,0.0037502,266
