"disp:0","disp:1","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2","stress_x:0","stress_x:1","stress_y:0","stress_y:1"
0.027801,-1.9814e-05,0.21601,-0.2465,0,0.99652,-0.00098801,-0.00098801,0.21108
0.028163,0,0.22415,-0.25,0,0.99832,-0.00038253,-0.00038253,0.22298
0.028026,-1.8315e-05,0.22107,-0.24652,0,0.99791,-0.00084814,-0.00084814,0.22012
0.028383,0,0.22912,-0.25,0,0.99946,-0.00031755,-0.00031755,0.23258
0.028243,-1.6793e-05,0.22598,-0.24654,0,0.9991,-0.00071608,-0.00071608,0.22951
0.028613,0,0.23433,-0.25,0,1.0004,-0.00026624,-0.00026624,0.24275
0.028471,-1.5133e-05,0.23112,-0.24656,0,1.0001,-0.00059984,-0.00059984,0.23947
0.028837,0,0.23942,-0.25,0,1.0014,-0.0002807,-0.0002807,0.25353
0.028692,-1.3438e-05,0.23613,-0.24657,0,1.001,-0.00055858,-0.00055858,0.24999
0.029071,0,0.24474,-0.25,0,1.0027,-0.00056806,-0.00056806,0.26536
0.028918,-1.2064e-05,0.24127,-0.24647,0,1.0019,-0.00069554,-0.00069554,0.26135
0.029302,0,0.25,-0.25,0,1.0023,-0.00066564,-0.00066564,0.27514
0.02914,-1.0395e-05,0.24633,-0.24636,0,1.0016,-0.00066079,-0.00066079,0.27048
0.029298,-1.2374e-05,0.25,-0.24469,0,1.0006,4.6297e-05,4.6297e-05,0.27758
0.029135,-2.5211e-05,0.24632,-0.24113,0,1.0005,-9.628e-05,-9.628e-05,0.2729
0.029293,-2.5936e-05,0.25,-0.23919,0,1.0001,0.00074342,0.00074342,0.27607
0.029127,-4.0742e-05,0.2463,-0.23571,0,1.0001,0.0004359,0.0004359,0.27163
0.029284,-3.944e-05,0.25,-0.23377,0,1,0.0010424,0.0010424,0.2751
0.029116,-5.6321e-05,0.24629,-0.23038,0,1.0001,0.00066776,0.00066776,0.27052
0.029274,-5.2075e-05,0.25,-0.22879,0,1.0001,0.0013354,0.0013354,0.27395
0.029103,-7.1e-05,0.24627,-0.22546,0,1.0002,0.00084949,0.00084949,0.26924
0.029261,-6.4983e-05,0.25,-0.2238,0,1.0001,0.0016002,0.0016002,0.27249
0.029088,-8.6026e-05,0.24626,-0.22054,0,1.0002,0.0010046,0.0010046,0.26769
0.029244,-7.8867e-05,0.25,-0.21859,0,1.0001,0.0018603,0.0018603,0.27061
0.029069,-0.00010214,0.24625,-0.2154,0,1.0001,0.0011706,0.0011706,0.26578
0.029224,-9.4036e-05,0.25,-0.2131,0,0.99999,0.0021535,0.0021535,0.26841
0.029046,-0.00011964,0.24623,-0.20999,0,1.0001,0.0013683,0.0013683,0.26355
0.029201,-0.0001091,0.25,-0.20785,0,1.0001,0.0024787,0.0024787,0.26603
0.029022,-0.00013697,0.24622,-0.20482,0,1.0001,0.0015715,0.0015715,0.26111
0.029177,-0.00012398,0.25,-0.20286,0,1.0001,0.0027645,0.0027645,0.26338
0.028996,-0.00015408,0.24621,-0.1999,0,1.0002,0.0017464,0.0017464,0.25844
0.029149,-0.00014068,0.25,-0.19752,0,1,0.0030356,0.0030356,0.26032
